Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,84,1943874087,3.735814332962036,0.051213842936745635,0.47468806822867293,0.0,0.0,0.47468806822867293,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,85,2099617758,3.757957696914673,0.08157829962121575,0.5561346972132472,0.0,0.0,0.5561346972132472,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,86,970557677,3.6420629024505615,0.06790674401871338,0.5544649967742148,0.0,0.0,0.5544649967742148,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,87,729259244,3.635145425796509,0.07407077569872858,0.4758769745667922,0.0,0.0,0.4758769745667922,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,88,2079841931,3.9076902866363525,0.07243970052655406,0.6332696270154548,0.0,0.0,0.6332696270154548,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,89,1892879705,3.705895185470581,0.06627304451936214,0.5943046031808064,0.0,0.0,0.5943046031808064,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,90,2041820033,3.8295648097991943,0.055306014263671634,0.8756597231239678,0.0,0.0,0.8756597231239678,21.0,3.0
Status quo (no rapid test),0.0,1.0,0.0,91,1401224298,3.6401355266571045,0.0770358915532179,0.4361049576287321,0.0,0.0,0.4361049576287321,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,92,1477953748,3.8608152866363525,0.05125386740149649,0.5941338403706578,0.0,0.0,0.5941338403706578,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,93,1914896930,3.7358460426330566,0.0716040002307914,0.43506025255916925,0.0,0.0,0.43506025255916925,10.0,14.0
