Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,107,828251148,5.125029563903809,0.14385755345159834,0.6383838556970477,0.0,0.0,0.6383838556970477,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,108,1916885108,5.046902656555176,0.1468986372203294,0.733938449338026,0.0,0.0,0.733938449338026,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,109,1179664583,4.8906543254852295,0.22910304720078786,0.620961136955259,0.0,0.0,0.620961136955259,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,110,2110358319,5.125028371810913,0.180370572222244,0.6736732217397011,0.0,0.0,0.6736732217397011,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,111,69305102,5.109405279159546,0.2850429271044979,0.5609663616627686,0.0,0.0,0.5609663616627686,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,112,2099058792,5.14065408706665,0.2110172609743275,0.5650452844978687,0.0,0.0,0.5650452844978687,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,113,803582769,5.04690408706665,0.220924480228942,0.6359146992619127,0.0,0.0,0.6359146992619127,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,114,1902408805,5.015653371810913,0.08938158801827124,0.9232445386718005,0.0,0.0,0.9232445386718005,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,115,1259589446,4.9375293254852295,0.17406312603053828,0.6580083402701734,0.0,0.0,0.6580083402701734,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,116,1654642800,5.20315408706665,0.2679156596521333,0.5227848319288669,0.0,0.0,0.5227848319288669,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,117,594362496,5.187530517578125,0.26564755500924053,0.5393539419907357,0.0,0.0,0.5393539419907357,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,118,187033306,5.125028848648071,0.24015468203664492,0.5656317432381841,0.0,0.0,0.5656317432381841,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,119,1515968844,5.03127908706665,0.1503282818454325,0.6955364446206663,0.0,0.0,0.6955364446206663,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,120,1337154836,5.000027894973755,0.10718377201684968,0.8563623126284071,0.0,0.0,0.8563623126284071,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,121,1085826672,5.187532663345337,0.11154500724106794,0.7142213503561081,0.0,0.0,0.7142213503561081,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,122,1790882283,4.937528133392334,0.10983878114606377,0.8658482857177602,0.0,0.0,0.8658482857177602,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,123,2011200635,5.031278610229492,0.16079295697715054,0.6942286146397263,0.0,0.0,0.6942286146397263,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,124,1481448673,4.890650987625122,0.18673251200225038,0.6352658005997073,0.0,0.0,0.6352658005997073,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,125,857287473,4.843778371810913,0.20272865646421842,0.6124840509842808,0.0,0.0,0.6124840509842808,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,126,426331361,4.984402656555176,0.06324188559835285,0.9506570746329491,0.0,0.0,0.9506570746329491,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,127,1474711849,4.937527656555176,0.05712356937029774,0.9931857647930379,0.0,0.0,0.9931857647930379,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,128,1104690703,3.908627986907959,0.3012022243936054,0.5605152985554298,0.0,0.0,0.5605152985554298,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,129,1558946001,3.25001859664917,0.18867919460656976,0.6497091749330368,0.0,0.0,0.6497091749330368,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,130,1558800852,3.703145742416382,0.26404047194972513,0.5349195220002705,0.0,0.0,0.5349195220002705,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,131,64313878,2.689870595932007,0.17533141971195487,0.7107299878338705,0.0,0.0,0.7107299878338705,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,132,2109083167,4.096129894256592,0.1522987869015041,0.6661093226187721,0.0,0.0,0.6661093226187721,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,133,1649863693,3.156266212463379,0.13620961213157093,0.689877920409759,0.0,0.0,0.689877920409759,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,134,241450799,3.98675274848938,0.2724136375175498,0.5350081303043694,0.0,0.0,0.5350081303043694,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,135,1121589842,3.156266927719116,0.33066775971242673,0.5016945555335551,0.0,0.0,0.5016945555335551,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,136,26894468,3.7211267948150635,0.21795925558166745,0.5707708323786653,0.0,0.0,0.5707708323786653,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,137,80604351,2.9062652587890625,0.26964350282640326,0.5569588119934927,0.0,0.0,0.5569588119934927,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,138,2031599051,3.6742520332336426,0.18806939113957874,0.6103313679752276,0.0,0.0,0.6103313679752276,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,139,1943073562,2.796889543533325,0.18107991677983817,0.6749849180959354,0.0,0.0,0.6749849180959354,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,140,176495276,3.5336248874664307,0.22226315068534544,0.6456580370613048,0.0,0.0,0.6456580370613048,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,141,836564337,2.9843907356262207,0.10975322477575986,0.7436780721159499,0.0,0.0,0.7436780721159499,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,142,918048512,4.049253940582275,0.12822487714656947,0.7114713351400167,0.0,0.0,0.7114713351400167,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,143,1555106235,2.968766212463379,0.19871924082291234,0.602677121686319,0.0,0.0,0.602677121686319,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,144,1075634974,3.580501079559326,0.17505924251665034,0.6333086059482604,0.0,0.0,0.6333086059482604,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,145,2130689123,3.140641450881958,0.1597617282716493,0.6600015903927189,0.0,0.0,0.6600015903927189,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,146,1515528027,3.549250602722168,0.2065781340400193,0.6333286473659315,0.0,0.0,0.6333286473659315,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,147,1304287277,2.734389305114746,0.12146471249365333,0.7364932987617753,0.0,0.0,0.7364932987617753,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,148,1720353129,3.674250364303589,0.15595701366133338,0.6480587467588195,0.0,0.0,0.6480587467588195,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,149,734697790,3.156266927719116,0.06350278131934503,0.9008259310109827,0.0,0.0,0.9008259310109827,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,150,699475056,3.814875841140747,0.17893738785669852,0.6666027096161596,0.0,0.0,0.6666027096161596,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,151,13007515,3.0312659740448,0.17578749411810468,0.6136724798569978,0.0,0.0,0.6136724798569978,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,152,1276684241,3.7992513179779053,0.1504954041836604,0.7271192883446855,0.0,0.0,0.7271192883446855,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,153,425802096,3.3282065391540527,0.06061109483412976,0.9223722599947293,0.0,0.0,0.9223722599947293,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,154,1509454501,3.3929998874664307,0.3067640216002437,0.530580326142814,0.0,0.0,0.530580326142814,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,155,2071857422,3.109391689300537,0.06578981878713766,0.9109458021414204,0.0,0.0,0.9109458021414204,29.0,0.0
