ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
81,1229454562,4.055023431777954,0.06835864868469767,0.6272651638901772,0.17758839082562894,0.9469031625292585,0.7933749886500122,0.5554320080534492,0.0,0.0,0.5554320080534492,13.0,11.0
82,1136346027,4.063022136688232,0.07726903691889153,0.8090541885337662,0.14152014393236262,0.9598913029897653,0.8403690612343201,0.5148417734687216,0.0,0.0,0.5148417734687216,12.0,12.0
83,1976046373,4.019022703170776,0.08072876552005508,0.48493306780411705,0.13153618875884374,0.9386901098385115,0.8648720562861324,0.39515090163736233,0.0,0.0,0.39515090163736233,9.0,15.0
84,488676322,4.168023109436035,0.05517952160856427,0.5868971778771076,0.12433365851138026,0.9681623818061061,0.8541780105641513,0.5958535433694645,0.0,0.0,0.5958535433694645,14.0,10.0
85,623440774,4.509026527404785,0.0660380905118181,0.6052795933815339,0.15792623036939274,0.9606985129449009,0.8177364147671274,0.5540568240505942,0.0,0.0,0.5540568240505942,13.0,11.0
86,843544805,4.515027284622192,0.07869782278737819,0.5938321833883428,0.16709396845497962,0.9534798037340968,0.8119232548427168,0.4767188393167374,0.0,0.0,0.4767188393167374,11.0,13.0
87,748296898,3.9281606674194336,0.056662774460011625,0.6602353389272214,0.16305040595329504,0.9558776093319616,0.8266462640020531,0.6339107226293913,0.0,0.0,0.6339107226293913,15.0,9.0
88,150503960,4.0530219078063965,0.05986059926553229,0.7733193808590123,0.1828839119094004,0.9578044656827963,0.8025856491020592,0.5537785241056793,0.0,0.0,0.5537785241056793,13.0,11.0
89,230484175,3.9610233306884766,0.06562415476606545,0.8393322652514403,0.15941149482787279,0.916612763061754,0.7723378742634303,0.35543799509461116,0.0,0.0,0.35543799509461116,8.0,16.0
90,349839797,4.1410253047943115,0.07467575731578369,0.682292619222934,0.1789914883571197,0.9356346782854292,0.7977098901544669,0.3942562735987661,0.0,0.0,0.3942562735987661,9.0,15.0
91,373605323,4.131022930145264,0.07528181912557247,0.7768603944323715,0.146172946319175,0.9401392939258433,0.8185284953765233,0.5145080847076957,0.0,0.0,0.5145080847076957,12.0,12.0
92,862821451,4.031023263931274,0.07772750606609821,0.6273833879118245,0.15044828913779124,0.9586651654087823,0.8390559593995249,0.554991898918842,0.0,0.0,0.554991898918842,13.0,11.0
93,1146183646,4.0840253829956055,0.06486633252991593,0.758672467536589,0.1606565897131356,0.9624788658954501,0.8221574718165059,0.5548655531140804,0.0,0.0,0.5548655531140804,13.0,11.0
94,1427834260,3.9390242099761963,0.07716736218235427,0.8161198915202929,0.21789127422426105,0.9220367946885203,0.731543640533155,0.39469336490830026,0.0,0.0,0.39469336490830026,9.0,15.0
95,874363302,3.9740235805511475,0.05397045668639664,0.6270340112338899,0.16544561463499008,0.9618168580926071,0.8274013938843136,0.5959241061467584,0.0,0.0,0.5959241061467584,14.0,10.0
96,359019150,4.033022880554199,0.06772216026778131,0.8568681519572469,0.17261137785093786,0.9604873766589401,0.8101480268006582,0.475151562655958,0.0,0.0,0.475151562655958,11.0,13.0
97,166009812,3.9840240478515625,0.05202273798806525,0.6438548904118769,0.14182634736882815,0.966071669018879,0.8429198030629449,0.556276974403365,0.0,0.0,0.556276974403365,13.0,11.0
98,432260974,3.894022226333618,0.056235392264085214,0.8575308226288185,0.15645159274637427,0.960758088182805,0.8243199599567137,0.4357963010591893,0.0,0.0,0.4357963010591893,10.0,14.0
99,1328063664,4.11502480506897,0.06377438759343708,0.8786981079439927,0.20450981225340426,0.954588921563346,0.7632649812161167,0.5559443540234278,0.0,0.0,0.5559443540234278,13.0,11.0
100,2090951919,3.9730236530303955,0.07311401890539908,0.6898720893028373,0.14597152727714718,0.9617746321100494,0.8496471647496174,0.5566913876459733,0.0,0.0,0.5566913876459733,13.0,11.0
101,784601027,4.04102349281311,0.06153493846077807,0.6400190109699239,0.1348481048592049,0.9506480633572917,0.8461464407476875,0.5544342262377878,0.0,0.0,0.5544342262377878,13.0,11.0
102,1773973039,3.9680237770080566,0.06105591533580907,0.6896069846541573,0.23591258854859118,0.9311279916677506,0.7261206176958688,0.39431023886718414,0.0,0.0,0.39431023886718414,9.0,15.0
103,1371273618,3.951021909713745,0.06665058848573852,0.7108709241270852,0.1547145886958352,0.9441465672476639,0.8068769257408961,0.3953930716675947,0.0,0.0,0.3953930716675947,9.0,15.0
104,1971207721,4.096023082733154,0.05118337755096719,0.5505677630448315,0.19203265887596183,0.9634021993915894,0.7976549898868542,0.4762384407782879,0.0,0.0,0.4762384407782879,11.0,13.0
105,1230012656,4.1750242710113525,0.050910887508369154,0.622287588800582,0.13938798163724184,0.9613118887772112,0.8425174509346551,0.47584882496399045,0.0,0.0,0.47584882496399045,11.0,13.0
106,359664015,4.266024827957153,0.05121457795998086,0.7290066865678946,0.21473540351753226,0.9606432358321978,0.7675325383684362,0.5562692006080433,0.0,0.0,0.5562692006080433,13.0,11.0
107,1597819448,4.0175042152404785,0.058789193307408866,0.7064663860007395,0.16379418139351273,0.9531128438343767,0.8086677043621835,0.5944396414133375,0.0,0.0,0.5944396414133375,14.0,10.0
108,470125782,4.19402289390564,0.05380943076394687,0.6649497659039265,0.184532507718918,0.9592391199895003,0.8005818639560984,0.5946789737515885,0.0,0.0,0.5946789737515885,14.0,10.0
109,1849364641,4.025023937225342,0.05969321144457801,0.7221458970274152,0.12400313091815449,0.9488692301324229,0.8474551145631719,0.5948933029726586,0.0,0.0,0.5948933029726586,14.0,10.0
110,1835132571,4.072021961212158,0.06588665840095805,0.6643015030860027,0.12272985931703101,0.9580217348053846,0.8695200277053461,0.516219475659801,0.0,0.0,0.516219475659801,12.0,12.0
111,456540017,4.021453380584717,0.080771600138777,0.7769367367078293,0.19821694588008718,0.9534372712263027,0.7882121633868877,0.47607402994052295,0.0,0.0,0.47607402994052295,11.0,13.0
112,815914859,4.108023405075073,0.052008174821614184,0.7469756560568431,0.2339127126068027,0.9181283098845912,0.7161151604236697,0.43353075881989706,0.0,0.0,0.43353075881989706,10.0,14.0
113,887449729,4.498027086257935,0.047894985876615656,0.7336351796434204,0.1239403192327342,0.9614423016067607,0.8506488130729509,0.5547539245071398,0.0,0.0,0.5547539245071398,13.0,11.0
114,816072213,4.505024433135986,0.04976466580194235,0.7102458278172709,0.17942837445174564,0.9548206956539513,0.8007894976952811,0.5932515564473312,0.0,0.0,0.5932515564473312,14.0,10.0
115,2082256903,3.732084035873413,0.07740640394336748,0.6713717481402551,0.16844193174740113,0.9605480203990695,0.8121742869691024,0.5554179249550627,0.0,0.0,0.5554179249550627,13.0,11.0
