Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,15,738146507,5.3932130336761475,0.12307408585607918,0.5565771472584591,0.1476531733903951,0.7173795359080941,0.7457881558829823,0.3651630185804862,0.04916237362499375,0.33146276367750227,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,0,201255546,5.550871133804321,0.14673155862530135,0.540592188847974,0.08302152963714804,0.7179683011607745,0.7483324083822896,0.5003792463562515,0.029234908587545766,0.21871825343849216,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,1,720098724,6.191515207290649,0.17909308414985162,0.42076542102632974,0.10014697305798852,0.7006871078416445,0.7206532895903951,0.3625045850796592,0.04109565588353928,0.31705304862719663,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,2,144866415,4.860734701156616,0.10353008336872001,0.43443463594860465,0.07700177827940478,0.9769798626313143,0.9825335612587208,0.3709702829574239,0.03574721188274257,0.5758160664185544,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,3,1680835334,5.079487562179565,0.2192689174693201,0.45922254579718397,0.0876973412758886,0.6624442814749331,0.6946352197022938,0.40653549758662616,0.03976135933621319,0.2483383627794545,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,4,1802331721,6.254021644592285,0.20202767141199793,0.5504576321175948,0.09419861636638732,0.7327324824728687,0.7569538003568134,0.4916854902404298,0.04183264995287075,0.2234356601635128,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,5,351049798,5.204489231109619,0.21537138919834856,0.4559556628688843,0.08949854153948557,0.64508170544043,0.6682777165456067,0.39796251799593946,0.04124094348680558,0.22907425506286155,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,6,1192485129,5.251364469528198,0.09432281655343568,0.7021254370167748,0.1335774711425644,0.816430320201112,0.8399735947826208,0.6465722540250689,0.030733870600541672,0.16266747015701027,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,7,825563396,5.23573899269104,0.3183199462548722,0.27431581974908026,0.06043187162649707,0.515568794882658,0.5367367432226595,0.23774708648086224,0.022954836461351307,0.27603482028044596,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,8,1857153899,4.766982793807983,0.18498781847160145,0.41970761509798554,0.07697843513536498,0.611338551639295,0.6332106217323565,0.373789941483721,0.03645616145753964,0.2229645187910961,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,9,323249829,5.5821192264556885,0.10702843677695906,0.579340893477477,0.10383907731612456,0.8367455523028844,0.859537648580654,0.5102675150068506,0.04222837421588358,0.3070417593579195,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,10,1765374533,5.30086612701416,0.2522586007062211,0.3044761163424488,0.06739064421395514,0.5237027210950641,0.5525434476215277,0.26704574032589123,0.027778914085914277,0.25771879320972274,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,11,382228820,4.782608985900879,0.21410502309185922,0.3224663463547155,0.07718679714050831,0.5701390377529109,0.5947053085224819,0.27777419075060517,0.032502984631989605,0.28442813313988685,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,12,55720852,5.222742319107056,0.25498930595940683,0.3613445467510455,0.07311762872412876,0.5813922624022131,0.6044174462429934,0.3198504104509644,0.02283154869165478,0.2617354871003742,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,13,1895837387,4.923235893249512,0.3240538588997177,0.3225167829751082,0.0466274717769026,0.5396297391662567,0.5655848474862745,0.2918705129764024,0.020964740088084455,0.25274959442178746,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,14,161642000,4.5482306480407715,0.2613443817483659,0.45039767684502324,0.06588049078627652,0.5188102558226934,0.5433951214616365,0.41501274752374545,0.02845589312890209,0.09992648080898896,34.0,0.0
"(p=None, None), q=(None, None), c=1.000)",,,,,1.0,15,738146507,5.332116603851318,0.12092052020667113,0.5624089178467103,0.14774468967261978,0.7341833217776512,0.761913014122449,0.4929569069655632,0.0655172954911755,0.20343881166571026,34.0,0.0
