Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,56,2013124419,4.694804430007935,0.08412267089123732,0.6661379972073096,0.16475437196941572,0.9592892240284375,0.8229039211029867,0.39686631914977505,0.0,0.0,0.39686631914977505,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,57,525868732,4.806393623352051,0.0856509784081572,0.7978879435811057,0.18058072808667328,0.9435621309482337,0.7879504988673355,0.42422563107897093,0.0,0.0,0.42422563107897093,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,58,2102773806,4.690805435180664,0.08182711454860847,0.7497756717346383,0.1359803196464715,0.9461215786889655,0.8370674476334607,0.3677096561999387,0.0,0.0,0.3677096561999387,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,59,66118438,4.756408929824829,0.06541245266924893,0.8110985902346229,0.14988135919580733,0.9453916453165273,0.8205498766251009,0.39733643103604455,0.0,0.0,0.39733643103604455,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,60,1111406759,4.643820285797119,0.0719558212474974,0.5935516567891443,0.15718005010143724,0.9435056363847754,0.7981127909528508,0.39707671513855713,0.0,0.0,0.39707671513855713,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,61,1568317111,4.866430997848511,0.08067163115882368,0.6184985362233347,0.1436698222354452,0.9419633051935561,0.8378858834398252,0.3389940916152992,0.0,0.0,0.3389940916152992,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,62,1386965005,4.634822607040405,0.047982697551467265,0.8296997189388772,0.1527192134170738,0.9455762042848065,0.8094242220470168,0.368243816020243,0.0,0.0,0.368243816020243,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,63,1805557375,4.716371059417725,0.08803078972804543,0.8235861802341717,0.15312546827420043,0.9464968007349329,0.8175318442841722,0.3393563490087971,0.0,0.0,0.3393563490087971,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,64,560840150,4.992845296859741,0.05725459508690045,0.6592862168763166,0.1748970401649851,0.960002313566045,0.8090562351217467,0.39763859222301007,0.0,0.0,0.39763859222301007,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,65,916380275,5.146663188934326,0.06439876671719151,0.796774273549887,0.15809877724153532,0.9571642371248719,0.825973994224721,0.39664420523369354,0.0,0.0,0.39664420523369354,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,66,1260736516,4.935918569564819,0.0629738407198583,0.7743095975396889,0.12393807218508501,0.9385314894110786,0.8406320078097196,0.39552222539228166,0.0,0.0,0.39552222539228166,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,67,1727995112,4.891455173492432,0.07327225309158832,0.7002579295213249,0.15105826742191059,0.9483271733335309,0.8276297809622496,0.396607668130853,0.0,0.0,0.396607668130853,13.0,21.0
