Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,205,746602898,5.455241680145264,0.05607158360742211,0.5774695948943286,0.15983440654688771,0.9717263431168326,0.8477556958732971,0.6367701897412873,0.23286407305796467,0.0339386242855913,0.36996749239773136,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,206,498052763,4.725775718688965,0.06964398556028568,0.573696274662509,0.14482644814666554,0.9341412183860034,0.8585619387853178,0.43570660086491436,0.1638267549067347,0.02000171230820398,0.2518781336499757,10.0,14.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,207,934746388,4.734874248504639,0.07449185388371998,0.7221291202515877,0.17652271765054736,0.9629395999132935,0.8234426445578426,0.5961686207886269,0.26558990728242715,0.032614218893660375,0.2979644946125394,14.0,10.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,208,46357772,5.293886423110962,0.08184897430024904,0.7679791944174119,0.28553918998018857,0.9574333558374865,0.716234737717867,0.47715313180123586,0.2162668569944708,0.03542065608670447,0.22546561872006066,11.0,13.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,209,94046135,5.211241722106934,0.05148229086076128,0.5938117105122815,0.11673057957558519,0.9546112196044756,0.8838874620614153,0.5156922956533774,0.19792299530159826,0.019773204099707672,0.2979960962520714,12.0,12.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,210,1794068059,5.584157943725586,0.07285406490181023,0.854027951066982,0.11136274706737818,0.9682176586259645,0.891219445348416,0.6764924873793692,0.38347336589629066,0.025130497489816262,0.26788862399326213,16.0,8.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,211,1283597886,5.524671316146851,0.07275341360648348,0.6403731339728218,0.1303276810844779,0.9762993046390231,0.8718768650944712,0.753994755791421,0.31423581777327225,0.03186020645423293,0.4078987315639159,18.0,6.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,212,1094259812,5.736547946929932,0.05599258417132809,0.7593551303330806,0.1603103611805679,0.9649558340102504,0.8440888502487729,0.6346844046676666,0.3025493044456452,0.033003185557711506,0.2991319146643099,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,213,607223181,5.417580842971802,0.05556377546111069,0.7558779647395455,0.1364412535832818,0.967707876288042,0.8665415454020158,0.6365745995317136,0.30665486827139943,0.028098403966724958,0.3018213272935892,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,214,1247123458,5.408137798309326,0.06529830670832854,0.7401115443963332,0.12951861092249556,0.9772454673046208,0.8717603366948191,0.7160262022211158,0.34844662843435775,0.02992302824857743,0.33765654553818064,17.0,7.0
