Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,90,2041820033,4.4588799476623535,0.0568567764130893,0.8374405446109644,0.18589704508682647,0.9773643162076989,0.7297164359366398,0.0,0.0,0.7297164359366398,21.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,91,1401224298,4.55565333366394,0.07931185719038197,0.5919080075562682,0.20503038538937382,0.9330180605883882,0.3634207980239434,0.0,0.0,0.3634207980239434,10.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,92,1477953748,4.281297206878662,0.050979843630918384,0.8537732053233459,0.2521690621832469,0.945784534305088,0.4951115336422148,0.0,0.0,0.4951115336422148,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,93,1914896930,4.4519734382629395,0.07430702987631126,0.7029652569324966,0.14427047559444564,0.9305291583100722,0.36255021046597435,0.0,0.0,0.36255021046597435,10.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,94,341705672,4.385638952255249,0.05580221627138182,0.6207874705296408,0.17987912553208504,0.9504646766981087,0.36371305488748223,0.0,0.0,0.36371305488748223,10.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,95,1750328427,4.582016229629517,0.08427894681276023,0.8304818180944942,0.20006857974732292,0.9598598365224508,0.46411142903737523,0.0,0.0,0.46411142903737523,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,96,1241646603,4.4393250942230225,0.08578851611742554,0.7268045240918428,0.10917651430683535,0.9466176385118078,0.5273396298943104,0.0,0.0,0.5273396298943104,15.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,97,354554919,4.403324365615845,0.07090636182631309,0.7942416077436608,0.17407922969494252,0.9560630229406667,0.49641035688453466,0.0,0.0,0.49641035688453466,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,98,1141212080,4.301362037658691,0.059833138105487495,0.7403335844242972,0.1244266663822398,0.9444199747334443,0.3296973994068876,0.0,0.0,0.3296973994068876,9.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,99,2056698391,4.509035587310791,0.053631160256125715,0.7296754996804174,0.18826734991510605,0.9692947794074216,0.46476291398860603,0.0,0.0,0.46476291398860603,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,100,1629361386,4.322726488113403,0.07612307690020294,0.5732592670578316,0.1539879373589263,0.9329601571054004,0.32999176107423117,0.0,0.0,0.32999176107423117,9.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,101,1298548678,4.832444190979004,0.07646964804609976,0.7830563005653185,0.1738094456057426,0.958913236530247,0.6616533906883704,0.0,0.0,0.6616533906883704,19.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,102,157333277,4.384079933166504,0.08877785610312597,0.8376271569348194,0.2071723121779816,0.9526442003122269,0.3299219298780629,0.0,0.0,0.3299219298780629,9.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,103,658548350,4.599202632904053,0.07550747097802443,0.776308084565727,0.3510279922272197,0.9471330075958119,0.39692406036394534,0.0,0.0,0.39692406036394534,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,104,784324956,4.3570876121521,0.04916305200774317,0.5887531801866657,0.16104662209595452,0.9385773960357018,0.42934937327646755,0.0,0.0,0.42934937327646755,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,105,1922562345,4.516815662384033,0.07689453264669534,0.7936901357195243,0.18064062809181283,0.9452861916173468,0.3296235918061636,0.0,0.0,0.3296235918061636,9.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,106,1171145861,4.7513511180877686,0.07540473387118472,0.6354764547226931,0.14400102410769172,0.9350665927316543,0.362507632912574,0.0,0.0,0.362507632912574,10.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,107,733904680,4.794456720352173,0.07211038428049711,0.6434017609972601,0.17790950535550476,0.9606782634265134,0.4638224079470114,0.0,0.0,0.4638224079470114,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,108,1826974045,4.358457088470459,0.05247011186620314,0.8157115628390066,0.2314682020021945,0.9384812955351318,0.5288686246680603,0.0,0.0,0.5288686246680603,15.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,109,1546115641,4.562322378158569,0.07846185943558624,0.8343209566537246,0.1626930070423852,0.9590994924930553,0.3972046194389568,0.0,0.0,0.3972046194389568,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,110,1873295335,4.446802377700806,0.06088904092728553,0.8583589314737788,0.23473953328627986,0.9328685624620813,0.4621415300353925,0.0,0.0,0.4621415300353925,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,111,1826990642,4.458350658416748,0.04990759410808047,0.5615356092546634,0.1528762331010749,0.9595692787843271,0.49713220257318447,0.0,0.0,0.49713220257318447,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,112,1807427148,4.340748071670532,0.0701749023096347,0.6935585090441317,0.1276610210735374,0.9601513598232505,0.5636647487951892,0.0,0.0,0.5636647487951892,16.0,13.0
