Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,59,179896050,7.052010536193848,0.14115765484282805,0.5047426937032092,0.07482389345539685,0.7233929420456895,0.9292978025171691,0.7571199328799375,0.4566325781846622,0.03476645998419485,0.26572089471108024,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,60,819442457,6.986008167266846,0.11499932428045401,0.6121566507716941,0.11145925993373558,0.8316609575341034,0.8897794355515449,0.8635912504529657,0.5464796591347623,0.049104866148451894,0.26800672516975155,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,61,922351132,6.7500083446502686,0.07864512354606094,0.7733693627210583,0.14411942325984683,0.9698567667226728,0.8600639559723394,0.9797737798632444,0.6758325499476406,0.06209685815546332,0.24184437176014018,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,62,1103622201,6.827005863189697,0.1250646255535163,0.4806446988216981,0.07293113918008833,0.7501766011770462,0.9306661349049864,0.7860895247831121,0.43671897667705645,0.03289155846479621,0.31647898964125926,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,63,1680835334,6.871009826660156,0.12849859834512206,0.6139487285948793,0.12710126962916507,0.8640428905286712,0.884339200504324,0.8955250583601182,0.5328367662956592,0.0615690668982646,0.3011192251661944,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,64,703685765,7.323758602142334,0.1220259829524442,0.4324686905431159,0.10803038587052408,0.7665611329109455,0.8953303504252438,0.8004087077699986,0.36901810644102845,0.048433384475904416,0.38295721685306566,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,65,471558427,6.806008815765381,0.1323728233629962,0.5519072686414804,0.16524527762051505,0.7836446844932086,0.8353426585870711,0.820205893980369,0.46959468742123855,0.07395232171163929,0.2766588848474911,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,66,2061141639,6.734004974365234,0.13109445051718713,0.661053425013489,0.11766151998639804,0.834173729717106,0.8837400811141392,0.8657532233297641,0.6031882664465656,0.050333111255569184,0.21223184562762945,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,67,1600341612,6.545005559921265,0.11926661716066432,0.4329181594095093,0.09127017219292231,0.9021440031725021,0.9097076441355241,0.9257064535641795,0.37080323384314795,0.039863305656271796,0.5150399140647596,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,68,799577490,7.312759876251221,0.21733958729129266,0.41915978861711006,0.11269397124250718,0.6657302055523957,0.8890581812386172,0.702438714717729,0.3563425857807077,0.050748534420441145,0.2953475945165805,24.0,0.0
